From/To	FlightNo	Miles	DepHr	DepMin	ArrHr	ArrMin	TravTime	TravDir
ABQ-DFW	5.680000000e+002	5.690000000e+002	5.000000000e+000	0.000000000e+000	6.000000000e+000	3.400000000e+001	1.566669941e+000	0.000000000e+000
ABQ-DFW	3.460000000e+002	5.690000000e+002	1.300000000e+001	3.000000000e+001	1.500000000e+001	1.200000000e+001	1.700000048e+000	0.000000000e+000
ANC-SEA	6.460000000e+002	1.448000000e+003	1.400000000e+001	5.500000000e+001	1.800000000e+001	5.000000000e+000	3.166670084e+000	1.000000000e+000
ATL-BHM	1.291000000e+003	1.340000000e+002	1.000000000e+001	1.500000000e+001	1.100000000e+001	0.000000000e+000	7.500000000e-001	0.000000000e+000
ATL-BOS	7.860000000e+002	9.460000000e+002	6.000000000e+000	2.800000000e+001	8.000000000e+000	5.000000000e+001	2.366669893e+000	1.000000000e+000
ATL-BOS	6.240000000e+002	9.460000000e+002	1.900000000e+001	1.100000000e+001	2.100000000e+001	4.500000000e+001	2.566669941e+000	1.000000000e+000
ATL-CLE	7.100000000e+002	5.540000000e+002	8.000000000e+000	3.800000000e+001	1.000000000e+001	1.500000000e+001	1.616670012e+000	0.000000000e+000
ATL-DAY	6.150000000e+002	4.320000000e+002	2.000000000e+001	5.500000000e+001	2.200000000e+001	2.000000000e+001	1.416669965e+000	0.000000000e+000
ATL-DEN	4.450000000e+002	1.208000000e+003	8.000000000e+000	3.200000000e+001	1.100000000e+001	5.500000000e+001	3.383330107e+000	-2.000000000e+000
ATL-DEN	4.990000000e+002	1.208000000e+003	1.500000000e+001	2.300000000e+001	1.800000000e+001	4.000000000e+001	3.283329964e+000	-2.000000000e+000
ATL-HNL	5.300000000e+001	4.501000000e+003	1.100000000e+001	5.500000000e+001	2.100000000e+001	3.000000000e+001	9.583330154e+000	-2.000000000e+000
ATL-TYS	4.290000000e+002	1.520000000e+002	2.100000000e+001	5.000000000e+000	2.100000000e+001	5.900000000e+001	8.999999762e-001	0.000000000e+000
ATL-LAS	7.490000000e+002	1.746000000e+003	9.000000000e+000	2.700000000e+001	1.300000000e+001	2.500000000e+001	3.966670036e+000	-2.000000000e+000
ATL-LEX	9.180000000e+002	3.030000000e+002	1.700000000e+001	7.000000000e+000	1.800000000e+001	1.500000000e+001	1.133329988e+000	0.000000000e+000
ATL-LAX	1.565000000e+003	1.946000000e+003	8.000000000e+000	1.500000000e+001	1.200000000e+001	5.000000000e+001	4.583330154e+000	-2.000000000e+000
ATL-MEM	1.677000000e+003	3.320000000e+002	1.900000000e+001	5.800000000e+001	2.100000000e+001	1.000000000e+001	1.200000048e+000	-2.000000000e+000
ATL-BNA	7.840000000e+002	2.140000000e+002	1.200000000e+001	0.000000000e+000	1.300000000e+001	0.000000000e+000	1.000000000e+000	-1.000000000e+000
ATL-MSY	3.750000000e+002	4.250000000e+002	8.000000000e+000	3.000000000e+001	9.000000000e+000	5.500000000e+001	1.416669965e+000	-1.000000000e+000
ATL-MSY	7.710000000e+002	4.250000000e+002	2.300000000e+001	3.000000000e+000	2.400000000e+001	2.500000000e+001	1.366670012e+000	-1.000000000e+000
ATL-JFK	1.212000000e+003	7.650000000e+002	1.000000000e+001	1.700000000e+001	1.200000000e+001	3.000000000e+001	2.216670036e+000	1.000000000e+000
ATL-JFK	1.298000000e+003	7.650000000e+002	2.100000000e+001	2.000000000e+001	2.300000000e+001	2.500000000e+001	2.083329916e+000	1.000000000e+000
ATL-OMA	1.480000000e+003	8.210000000e+002	1.000000000e+001	1.900000000e+001	1.200000000e+001	4.000000000e+001	2.349999905e+000	-2.000000000e+000
ATL-SNA	7.160000000e+002	1.919000000e+003	8.000000000e+000	3.800000000e+001	1.300000000e+001	2.500000000e+001	4.783329964e+000	-2.000000000e+000
ATL-PHX	3.450000000e+002	1.587000000e+003	1.900000000e+001	7.000000000e+000	2.300000000e+001	1.000000000e+001	4.050000191e+000	-2.000000000e+000
ATL-PIT	6.620000000e+002	5.260000000e+002	1.300000000e+001	3.600000000e+001	1.500000000e+001	5.000000000e+000	1.483330011e+000	0.000000000e+000
ATL-PDX	5.100000000e+001	2.172000000e+003	1.000000000e+001	1.000000000e+001	1.500000000e+001	5.000000000e+000	4.916669846e+000	-2.000000000e+000
ATL-STL	6.740000000e+002	4.840000000e+002	2.100000000e+001	2.000000000e+000	2.200000000e+001	4.500000000e+001	1.716670036e+000	-2.000000000e+000
ATL-SFO	2.170000000e+002	2.139000000e+003	8.000000000e+000	4.000000000e+001	1.300000000e+001	5.500000000e+001	5.250000000e+000	-2.000000000e+000
ATL-SFO	1.792000000e+003	2.139000000e+003	1.900000000e+001	3.000000000e+000	2.400000000e+001	2.000000000e+001	5.283329964e+000	-2.000000000e+000
ATL-TLH	4.950000000e+002	2.230000000e+002	1.100000000e+001	5.700000000e+001	1.200000000e+001	5.500000000e+001	9.666699767e-001	0.000000000e+000
ATL-DCA	1.204000000e+003	5.430000000e+002	1.300000000e+001	4.300000000e+001	1.500000000e+001	2.500000000e+001	1.700000048e+000	1.000000000e+000
ATL-DCA	9.780000000e+002	5.430000000e+002	2.100000000e+001	1.600000000e+001	2.200000000e+001	5.500000000e+001	1.649999976e+000	1.000000000e+000
AUS-DFW	9.450000000e+002	1.830000000e+002	6.000000000e+000	2.500000000e+001	7.000000000e+000	2.100000000e+001	9.333299994e-001	0.000000000e+000
BWI-CVG	1.199000000e+003	4.300000000e+002	1.600000000e+001	4.500000000e+001	1.800000000e+001	2.000000000e+001	1.583330035e+000	-2.000000000e+000
BGR-BOS	6.030000000e+002	2.010000000e+002	1.300000000e+001	4.000000000e+001	1.400000000e+001	3.500000000e+001	9.166700244e-001	0.000000000e+000
BOS-ATL	1.103000000e+003	9.460000000e+002	6.000000000e+000	1.500000000e+001	8.000000000e+000	5.000000000e+001	2.583329916e+000	-1.000000000e+000
BOS-ATL	1.085000000e+003	9.460000000e+002	1.100000000e+001	4.000000000e+001	1.400000000e+001	2.000000000e+001	2.666670084e+000	-1.000000000e+000
BOS-ATL	6.510000000e+002	9.460000000e+002	1.900000000e+001	5.000000000e+000	2.100000000e+001	4.800000000e+001	2.716670036e+000	-1.000000000e+000
BOS-DFW	6.290000000e+002	1.561000000e+003	1.100000000e+001	2.000000000e+001	1.500000000e+001	2.500000000e+001	4.083330154e+000	-1.000000000e+000
BOS-JFK	1.837000000e+003	1.820000000e+002	1.400000000e+001	3.000000000e+001	1.500000000e+001	3.200000000e+001	1.033329964e+000	1.000000000e+000
CVG-CLE	3.980000000e+002	2.210000000e+002	2.000000000e+001	5.800000000e+001	2.100000000e+001	5.500000000e+001	9.499999881e-001	0.000000000e+000
DFW-ATL	1.600000000e+001	7.310000000e+002	6.000000000e+000	1.500000000e+001	8.000000000e+000	1.500000000e+001	2.000000000e+000	2.000000000e+000
DFW-ATL	2.980000000e+002	7.310000000e+002	1.300000000e+001	7.000000000e+000	1.500000000e+001	1.500000000e+001	2.133330107e+000	2.000000000e+000
DFW-ATL	1.120000000e+003	7.310000000e+002	2.000000000e+001	5.900000000e+001	2.200000000e+001	5.100000000e+001	1.866670012e+000	2.000000000e+000
